school_urn,school_laestab,school_name,la_code,la_name,disadvantaged_pupils,disadvantaged_good_pass_pct,non_disadvantaged_good_pass_pct,all_pupils_good_pass_pct,gap_pp
134909,9336207,3 Dimensions,E06000066,Somerset,z,,,,
148840,3426009,A.R.T.S. Education,E08000013,St. Helens,z,,,,
147064,8787009,ACE Tiverton Special School,E10000008,Devon,11,0,0,,0.0
149157,3036004,ADO River Valley School,E09000004,Bexley,z,,,,
147536,3084004,AIM Academy North London,E09000010,Enfield,46,17.4,25.9,22.1,8.5
119836,8886014,AKS Lytham,E10000017,Lancashire,z,,,,
139559,8556042,ALP Leicester,E10000018,Leicestershire,z,,,,
148051,9376031,ALP Nuneaton,E10000031,Warwickshire,z,,,,
149202,8866175,ALP Sittingbourne,E10000016,Kent,z,,,,
145949,8916039,APTCOO - A Place to Call Our Own,E10000024,Nottinghamshire,z,,,,
142779,8556037,ASPIRE: Lifeskills,E10000018,Leicestershire,z,,,,
136083,8736049,Abbey College Cambridge,E10000003,Cambridgeshire,z,,,,
105601,3526044,Abbey College Manchester,E08000003,Manchester,z,,,,
117035,8856026,Abbey College in Malvern,E10000034,Worcestershire,z,,,,
137377,8734603,"Abbey College, Ramsey",E10000003,Cambridgeshire,48,27.1,51.8,45.9,24.7
119052,8877053,Abbey Court Foundation Special School,E06000035,Medway,5,,,,
111484,8966018,Abbey Gate College,E06000050,Cheshire West and Chester,z,,,,
137083,3835400,Abbey Grange Church of England Academy,E08000035,Leeds,60,48.3,67,63.4,18.7
139974,8087029,Abbey Hill Academy,E06000004,Stockton-on-Tees,29,0,0,0,0.0
149990,8617007,Abbey Hill Academy & College,E06000021,Stoke-on-Trent,20,,,,
145744,8664005,Abbey Park School,E06000030,Swindon,39,33.3,54.2,53.3,20.9
142768,3727002,Abbey School,E08000018,Rotherham,20,0,0,0,0.0
147951,8966010,Abbey School for Exceptional Children,E06000050,Cheshire West and Chester,z,,,,
131969,8654000,Abbeyfield School,E06000054,Wiltshire,38,34.2,55.6,51,21.4
