lad_code,lad_name,region_name,fsm_pupils,fsm_good_pass_pct,non_fsm_good_pass_pct,all_pupils_good_pass_pct,gap_pp
E07000223,Adur,South East,99,31.3,59.8,54.6,28.5
E07000032,Amber Valley,East Midlands,332,25,52.8,46.3,27.8
E07000224,Arun,South East,237,17.3,44.8,39.8,27.5
E07000170,Ashfield,East Midlands,397,17.9,41.6,35.2,23.7
E07000105,Ashford,South East,395,20,54.6,46.2,34.6
E07000200,Babergh,East of England,173,26,46.2,42.1,20.2
E09000002,Barking and Dagenham,Outer London,946,33.8,52.5,46.9,18.7
E09000003,Barnet,Outer London,973,43.9,72.3,66.2,28.4
E08000016,Barnsley,Yorkshire and The Humber,682,20.5,48.5,41.2,28.0
E07000066,Basildon,East of England,479,19,43.9,37.8,24.9
E07000084,Basingstoke and Deane,South East,317,19.2,46.9,41.5,27.7
E07000171,Bassetlaw,East Midlands,262,22.5,43.9,39.6,21.4
E06000022,Bath and North East Somerset,South West,401,24.4,57.4,51.5,33.0
E06000055,Bedford,East of England,483,23,49.5,44.1,26.5
E09000004,Bexley,Outer London,604,28.3,61,55,32.7
E08000025,Birmingham,West Midlands,5946,33.2,55.9,47,22.7
E07000129,Blaby,East Midlands,121,14.9,41,35.9,26.1
E06000008,Blackburn with Darwen,North West,537,25.5,50,44,24.5
E06000009,Blackpool,North West,600,16,36.1,27,20.1
E07000033,Bolsover,East Midlands,260,19.6,43.4,36.2,23.8
E08000001,Bolton,North West,1023,29.9,51.7,45.8,21.8
E07000136,Boston,East Midlands,198,15.7,39.8,33.6,24.1
E06000058,"Bournemouth, Christchurch and Poole",South West,753,32.9,61.9,56.6,29.0
E06000036,Bracknell Forest,South East,193,23.8,52.6,48.6,28.8
E08000032,Bradford,Yorkshire and The Humber,2269,22.7,44.5,37.6,21.8
E07000067,Braintree,East of England,287,17.8,44,38.9,26.2
E07000143,Breckland,East of England,261,22.6,40.4,36.8,17.8
E09000005,Brent,Outer London,802,38.7,62,56.4,23.3
E07000068,Brentwood,East of England,142,24.6,56.3,52.8,31.7
E06000043,Brighton and Hove,South East,530,28.1,59.6,52.7,31.5
E06000023,"Bristol, City of",South West,1236,20.6,52.9,43.4,32.3
E07000144,Broadland,East of England,259,20.8,50.3,45.3,29.5
E09000006,Bromley,Outer London,663,28.1,61.4,55.7,33.3
E07000234,Bromsgrove,West Midlands,155,18.1,52.8,48.5,34.7
E07000095,Broxbourne,East of England,253,26.5,49.6,44.9,23.1
E07000172,Broxtowe,East Midlands,220,28.6,56.1,50.7,27.5
E06000060,Buckinghamshire,South East,843,24.9,64.2,59.2,39.3
E07000117,Burnley,North West,353,19.5,39.8,33.2,20.3
E08000002,Bury,North West,494,23.3,49.1,43.5,25.8
E08000033,Calderdale,Yorkshire and The Humber,680,28.4,55.1,48.8,26.7
E07000008,Cambridge,East of England,255,33.3,70.1,61.6,36.8
E09000007,Camden,Inner London,728,39.6,59.9,50.7,20.3
E07000192,Cannock Chase,West Midlands,239,15.9,39.4,33.4,23.5
E07000106,Canterbury,South East,342,20.5,52.9,45.9,32.4
E07000069,Castle Point,East of England,176,11.4,40,35.4,28.6
E06000056,Central Bedfordshire,East of England,444,14.4,44.6,40.3,30.2
E07000130,Charnwood,East Midlands,361,25.2,51.4,46.3,26.2
E07000070,Chelmsford,East of England,306,18.3,60.7,54.8,42.4
E07000078,Cheltenham,South West,171,22.2,63.1,56.5,40.9
E07000177,Cherwell,South East,258,19.8,45.7,41.3,25.9
E06000049,Cheshire East,North West,679,19.1,52.7,47.4,33.6
E06000050,Cheshire West and Chester,North West,776,16.9,50.1,43.5,33.2
E07000034,Chesterfield,East Midlands,356,24.2,51.1,43.9,26.9
E07000225,Chichester,South East,162,14.8,42.2,38.1,27.4
E07000118,Chorley,North West,263,30,61.9,55.9,31.9
E07000071,Colchester,East of England,398,20.6,56.8,50.5,36.2
E06000052,Cornwall,South West,1225,20.9,44.9,39.7,24.0
E07000079,Cotswold,South West,136,19.9,57.1,52.5,37.2
E06000047,County Durham,North East,1562,23.6,47.4,40.6,23.8
E08000026,Coventry,West Midlands,1247,28.4,49.9,43.6,21.5
E07000226,Crawley,South East,289,20.4,41.3,37.1,20.9
E09000008,Croydon,Outer London,1272,30.4,50.8,44.2,20.4
E06000063,Cumberland,North West,629,17,44.2,38.4,27.2
E07000096,Dacorum,East of England,306,18.6,50.3,44.8,31.7
E06000005,Darlington,North East,289,24.6,49.9,43.9,25.3
E07000107,Dartford,South East,337,36.5,63.5,58.4,27.0
E06000015,Derby,East Midlands,972,20.6,46.7,39.3,26.1
E07000035,Derbyshire Dales,East Midlands,132,24.2,57.7,52.4,33.5
E08000017,Doncaster,Yorkshire and The Humber,977,26.2,49.1,42.6,22.9
E06000059,Dorset,South West,830,22.4,47.6,42.1,25.2
E07000108,Dover,South East,350,22,47,40.2,25.0
E08000027,Dudley,West Midlands,944,21.4,47.8,40.9,26.4
E09000009,Ealing,Outer London,1008,41.7,64.1,57.7,22.4
E07000009,East Cambridgeshire,East of England,180,15,55.3,48.6,40.3
E07000040,East Devon,South West,212,21.7,55.9,50.5,34.2
E07000085,East Hampshire,South East,204,20.1,57.1,51.8,37.0
E07000242,East Hertfordshire,East of England,198,32.3,61.3,58.8,29.0
E07000137,East Lindsey,East Midlands,455,18.5,46.7,37.9,28.2
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,679,21.6,48,42.8,26.4
E07000193,East Staffordshire,West Midlands,338,20.7,46.6,41.9,25.9
E07000244,East Suffolk,East of England,588,19.9,44.3,38,24.4
E07000061,Eastbourne,South East,283,20.5,44.3,38,23.8
E07000086,Eastleigh,South East,254,22.4,54.4,49.4,32.0
E07000207,Elmbridge,South East,114,33.3,64.3,60.8,31.0
E09000010,Enfield,Outer London,1184,33.4,54.7,48.3,21.3
E07000072,Epping Forest,East of England,205,25.9,51.2,47.1,25.3
E07000208,Epsom and Ewell,South East,102,32.4,67.7,64.4,35.3
E07000036,Erewash,East Midlands,313,20.4,52.4,43.5,32.0
E07000041,Exeter,South West,241,27.4,54.1,48.7,26.7
E07000087,Fareham,South East,208,20.7,51.8,47,31.1
E07000010,Fenland,East of England,250,18,34.7,30.2,16.7
E07000010 / E07000009,Fenland / East Cambridgeshire,East of England,430,16.7,46.5,40.1,29.8
E07000112,Folkestone and Hythe,South East,306,18.6,41.8,35.2,23.2
E07000080,Forest of Dean,South West,185,16.8,39.9,34.9,23.1
E07000119,Fylde,North West,131,17.6,47.2,41.4,29.6
E08000037,Gateshead,North East,590,28,57,48.7,29.0
E07000173,Gedling,East Midlands,311,23.2,54.7,48.1,31.5
E07000081,Gloucester,South West,329,27.7,66.6,59,38.9
E07000088,Gosport,South East,183,10.4,31.7,26.8,21.3
E07000109,Gravesham,South East,296,24.7,53.2,47.4,28.5
E07000145,Great Yarmouth,East of England,348,23.3,42.8,36.2,19.5
E09000011,Greenwich,Outer London,821,33.4,55.3,49.3,21.9
E07000209,Guildford,South East,147,25.2,68.2,63.6,43.0
E09000012,Hackney,Inner London,1156,42.6,63,53.5,20.4
E06000006,Halton,North West,581,18.9,42.3,33.7,23.4
E09000013,Hammersmith and Fulham,Inner London,404,49.3,69.8,64.4,20.5
E07000131,Harborough,East Midlands,122,26.2,56.3,53,30.1
E09000014,Haringey,Inner London,819,36.4,55.3,49.6,18.9
E07000073,Harlow,East of England,266,17.3,35,30.9,17.7
E09000015,Harrow,Outer London,580,34.1,62.7,56.7,28.6
E07000089,Hart,South East,104,31.7,58.3,55.8,26.6
E06000001,Hartlepool,North East,457,21.4,43.3,34.7,21.9
E07000062,Hastings,South East,285,13,33.3,25.6,20.3
E07000090,Havant,South East,363,11.8,41.2,32.9,29.4
E09000016,Havering,Outer London,632,29.6,58.1,52.2,28.5
E06000019,"Herefordshire, County of",West Midlands,309,20.4,47.3,42.7,26.9
E07000098,Hertsmere,East of England,214,25.7,56.3,51.7,30.6
E07000037,High Peak,East Midlands,204,20.6,44.1,39.4,23.5
E09000017,Hillingdon,Outer London,899,37,58.6,53.3,21.6
E07000132,Hinckley and Bosworth,East Midlands,236,25,56,51.6,31.0
E07000227,Horsham,South East,148,32.4,55.2,53,22.8
E09000018,Hounslow,Outer London,889,38.9,60.6,55,21.7
E07000011,Huntingdonshire,East of England,327,24.2,48.8,43.7,24.6
E07000120,Hyndburn,North West,273,25.3,37.8,34,12.5
E07000202,Ipswich,East of England,381,22.8,44.6,39.5,21.8
E06000046,Isle of Wight,South East,290,18.3,46.4,39.6,28.1
E06000053,Isles of Scilly,South West,1,100,62.5,64.7,-37.5
E09000019,Islington,Inner London,707,39.6,62.4,51.3,22.8
