school_urn,school_name,la_name,disadv_good_pass_pct,non_disadv_good_pass_pct,gap_pp,n_disadvantaged,pct_white_british,pct_fsm_perf_tables,headcount
134909,3 Dimensions,Somerset,,,,z,,,
148840,A.R.T.S. Education,St. Helens,,,,z,,,
147064,ACE Tiverton Special School,Devon,0.0,0.0,0.0,11,,,
149157,ADO River Valley School,Bexley,,,,z,,,
147536,AIM Academy North London,Enfield,17.4,25.9,8.5,46,44.6,5.3,32.0
119836,AKS Lytham,Lancashire,,,,z,,,
139559,ALP Leicester,Leicestershire,,,,z,,,
148051,ALP Nuneaton,Warwickshire,,,,z,,,
149202,ALP Sittingbourne,Kent,,,,z,,,
145949,APTCOO - A Place to Call Our Own,Nottinghamshire,,,,z,,,
142779,ASPIRE: Lifeskills,Leicestershire,,,,z,,,
136083,Abbey College Cambridge,Cambridgeshire,,,,z,,,
105601,Abbey College Manchester,Manchester,,,,z,,,
117035,Abbey College in Malvern,Worcestershire,,,,z,,,
137377,"Abbey College, Ramsey",Cambridgeshire,27.1,51.8,24.7,48,26.2,83.2,879.0
119052,Abbey Court Foundation Special School,Medway,,,,5,,,
111484,Abbey Gate College,Cheshire West and Chester,,,,z,,,
137083,Abbey Grange Church of England Academy,Leeds,48.3,67.0,18.7,60,22.1,43.6,704.0
139974,Abbey Hill Academy,Stockton-on-Tees,0.0,0.0,0.0,29,,,
149990,Abbey Hill Academy & College,Stoke-on-Trent,,,,20,,,
145744,Abbey Park School,Swindon,33.3,54.2,20.9,39,15.9,78.3,925.0
142768,Abbey School,Rotherham,0.0,0.0,0.0,20,,,
147951,Abbey School for Exceptional Children,Cheshire West and Chester,,,,z,,,
131969,Abbeyfield School,Wiltshire,34.2,55.6,21.4,38,26.3,82.4,741.0
138858,Abbeyfield School,West Northamptonshire,17.2,49.0,31.8,58,24.7,52.4,712.0
139067,Abbeywood Community School,South Gloucestershire,18.6,53.4,34.8,43,21.6,69.4,879.0
146571,Abbeywood School,Rotherham,,,,z,,,
124449,Abbot Beyne School,Staffordshire,16.3,31.5,15.2,43,31.2,56.3,466.0
117600,Abbot's Hill School,Hertfordshire,,,,z,,,
